;;;
99;143;97;63
143;200;94;63
199;279;94;64
279;74;18;66
99;127;86;66
126;188;100;67
187;279;100;67
279;416;100;68
351;523;100;70
351;518;99;71
351;487;93;68
351;99;19;69
99;140;95;67
139;195;94;67
195;273;94;67
273;85;21;68
99;99;66;67
99;140;95;67
139;95;46;68
99;99;61;67
99;84;57;67
99;147;100;68
146;217;100;69
216;322;100;70
320;477;100;71
351;523;100;73
351;513;98;71
351;89;17;71
99;138;94;69
138;193;94;69
193;95;33;70
99;140;95;69
139;95;46;70
99;99;61;69
99;140;95;68
139;93;45;69
99;99;61;69
99;140;95;68
139;195;94;68
